runs,wickets,overs,runs_last_5,wickets_last_5,total_score
54,2,6,49,1,126
57,2,7,36,1,126
73,2,8,44,1,126
79,2,9,38,1,126
89,2,10,40,0,126
95,2,11,41,0,126
103,2,12,46,0,126
106,3,13,33,1,126
112,3,14,33,1,126
121,3,15,32,1,126
126,3,16,31,1,126
51,0,5,46,0,170
56,1,6,33,1,170
68,2,7,38,2,170
77,2,8,39,2,170
86,2,9,44,2,170
91,2,10,40,2,170
97,3,11,41,2,170
108,3,12,40,1,170
117,3,13,40,1,170
129,3,14,43,1,170
135,4,15,44,2,170
138,5,16,41,2,170
148,5,17,40,2,170
157,5,18,40,2,170
170,5,19,41,2,170
40,2,5,32,2,145
51,2,6,41,1,145
64,2,7,48,1,145
68,2,8,47,1,145
70,2,9,39,0,145
72,4,10,32,2,145
75,5,11,24,3,145
81,5,12,17,3,145
92,5,13,24,3,145
99,5,14,29,3,145
110,5,15,38,1,145
120,6,16,45,1,145
126,7,17,45,2,145
136,8,18,44,3,145
145,8,19,46,3,145
25,2,5,24,2,141
29,2,6,27,0,141
37,2,7,34,0,141
42,3,8,37,1,141
48,3,9,36,1,141
56,3,10,31,1,141
60,3,11,31,1,141
73,3,12,36,1,141
85,4,13,43,1,141
95,4,14,47,1,141
101,6,15,45,3,141
105,6,16,45,3,141
113,6,17,40,3,141
123,6,18,38,2,141
141,6,19,46,2,141
35,0,5,31,0,142
39,0,6,32,0,142
47,0,7,39,0,142
50,1,8,28,1,142
54,1,9,27,1,142
76,1,10,41,1,142
79,1,11,40,1,142
94,1,12,47,1,142
97,1,13,47,0,142
111,1,14,57,0,142
121,1,15,45,0,142
126,1,16,47,0,142
142,1,17,48,0,142
28,2,5,23,2,126
34,2,6,24,1,126
38,2,7,19,1,126
43,3,8,23,2,126
61,3,9,36,2,126
67,4,10,39,2,126
71,4,11,37,2,126
75,4,12,37,2,126
78,4,13,35,1,126
89,4,14,28,1,126
93,4,15,26,0,126
97,4,16,26,0,126
107,5,17,32,1,126
116,6,18,38,2,126
126,6,19,37,2,126
36,2,5,35,1,127
40,2,6,30,1,127
42,2,7,27,1,127
49,2,8,21,1,127
53,2,9,23,1,127
57,2,10,21,0,127
60,3,11,20,1,127
61,4,12,19,2,127
69,4,13,20,2,127
77,4,14,24,2,127
80,5,15,23,3,127
97,6,16,37,3,127
115,6,17,54,2,127
127,6,18,58,2,127
66,0,5,63,0,173
69,0,6,58,0,173
77,0,7,52,0,173
85,1,8,56,1,173
88,1,9,47,1,173
93,1,10,27,1,173
97,2,11,28,2,173
99,2,12,22,2,173
115,2,13,30,1,173
129,2,14,41,1,173
132,2,15,39,1,173
138,2,16,41,0,173
149,3,17,50,1,173
158,3,18,43,1,173
173,3,19,44,1,173
50,3,5,46,1,138
56,3,6,46,1,138
71,3,7,57,1,138
73,4,8,47,1,138
80,4,9,42,1,138
84,4,10,34,1,138
88,5,11,32,2,138
94,5,12,23,2,138
102,5,13,29,1,138
105,6,14,25,2,138
109,7,15,25,3,138
117,7,16,29,2,138
122,9,17,28,4,138
128,9,18,26,4,138
138,9,19,33,3,138
49,1,5,48,1,182
54,1,6,41,1,182
60,1,7,42,0,182
69,1,8,40,0,182
76,1,9,33,0,182
94,1,10,45,0,182
104,1,11,50,0,182
111,1,12,51,0,182
113,1,13,44,0,182
132,1,14,56,0,182
139,1,15,45,0,182
156,1,16,52,0,182
170,1,17,59,0,182
174,1,18,61,0,182
182,1,19,50,0,182
32,2,5,30,1,155
40,2,6,36,0,155
49,2,7,37,0,155
52,2,8,36,0,155
61,3,9,38,1,155
67,3,10,35,1,155
82,3,11,42,1,155
95,3,12,46,1,155
102,3,13,50,1,155
106,3,14,45,0,155
117,3,15,50,0,155
124,3,16,42,0,155
139,3,17,44,0,155
145,3,18,43,0,155
155,4,19,49,1,155
27,4,5,22,3,114
32,4,6,20,3,114
37,4,7,19,2,114
48,4,8,27,2,114
52,4,9,28,1,114
56,4,10,29,0,114
60,4,11,28,0,114
71,4,12,34,0,114
74,5,13,26,1,114
78,5,14,26,1,114
84,5,15,28,1,114
88,5,16,28,1,114
94,5,17,23,1,114
107,5,18,33,0,114
114,5,19,36,0,114
45,0,5,43,0,115
55,0,6,45,0,115
63,0,7,48,0,115
70,0,8,45,0,115
75,0,9,37,0,115
83,1,10,38,1,115
87,1,11,32,1,115
93,1,12,30,1,115
101,1,13,31,1,115
112,1,14,37,1,115
115,1,15,32,0,115
45,1,5,37,1,170
51,1,6,38,1,170
56,1,7,37,1,170
61,1,8,32,1,170
77,1,9,43,0,170
89,1,10,44,0,170
94,1,11,43,0,170
109,1,12,53,0,170
118,1,13,57,0,170
126,2,14,49,1,170
136,2,15,47,1,170
145,2,16,51,1,170
156,2,17,47,1,170
161,3,18,43,2,170
170,4,19,44,2,170
33,4,5,30,2,125
37,4,6,26,2,125
47,4,7,31,1,125
52,4,8,27,1,125
60,4,9,34,0,125
68,5,10,35,1,125
76,5,11,39,1,125
81,5,12,34,1,125
89,5,13,37,1,125
97,6,14,37,2,125
105,6,15,37,1,125
109,7,16,33,2,125
112,9,17,31,4,125
116,9,18,27,4,125
125,9,19,28,3,125
47,1,5,42,1,190
49,2,6,29,2,190
58,2,7,31,2,190
65,2,8,32,2,190
76,2,9,35,2,190
87,2,10,40,1,190
102,2,11,53,0,190
114,2,12,56,0,190
121,2,13,56,0,190
126,2,14,50,0,190
137,2,15,50,0,190
145,3,16,43,1,190
159,3,17,45,1,190
179,3,18,58,1,190
190,4,19,64,2,190
44,2,5,41,2,194
55,2,6,48,2,194
58,3,7,47,2,194
65,3,8,41,2,194
76,3,9,48,1,194
83,3,10,39,1,194
99,3,11,44,1,194
102,4,12,44,1,194
109,4,13,44,1,194
130,4,14,54,1,194
141,4,15,58,1,194
150,6,16,51,3,194
167,6,17,65,2,194
175,6,18,66,2,194
194,6,19,64,2,194
40,2,5,34,2,171
48,3,6,41,3,171
52,3,7,41,1,171
61,3,8,48,1,171
69,3,9,35,1,171
85,3,10,45,1,171
88,4,11,40,1,171
90,4,12,38,1,171
99,4,13,38,1,171
107,4,14,38,1,171
122,4,15,37,1,171
128,4,16,40,0,171
134,6,17,44,2,171
147,6,18,48,2,171
171,6,19,64,2,171
32,3,5,30,2,173
40,3,6,33,1,173
45,4,7,30,2,173
51,5,8,27,2,173
56,5,9,28,2,173
75,5,10,43,2,173
77,5,11,37,2,173
91,5,12,46,1,173
95,5,13,44,0,173
106,5,14,50,0,173
115,5,15,40,0,173
131,5,16,54,0,173
149,5,17,58,0,173
158,5,18,63,0,173
173,5,19,67,0,173
50,0,5,44,0,158
57,0,6,44,0,158
72,0,7,51,0,158
78,0,8,46,0,158
86,0,9,47,0,158
96,0,10,46,0,158
100,1,11,43,1,158
102,2,12,30,2,158
105,2,13,27,2,158
112,3,14,26,3,158
122,3,15,26,3,158
127,4,16,27,3,158
138,5,17,36,3,158
149,5,18,44,3,158
158,6,19,46,3,158
51,0,5,46,0,160
58,0,6,42,0,160
75,0,7,45,0,160
88,0,8,56,0,160
96,0,9,52,0,160
98,2,10,47,2,160
104,2,11,46,2,160
108,2,12,33,2,160
110,3,13,22,3,160
115,3,14,19,3,160
124,3,15,26,1,160
127,3,16,23,1,160
132,4,17,24,2,160
150,4,18,40,1,160
160,5,19,45,2,160
47,2,5,41,2,136
54,2,6,35,2,136
56,3,7,32,3,136
62,3,8,36,2,136
64,4,9,26,3,136
72,4,10,25,2,136
80,5,11,26,3,136
89,6,12,33,3,136
96,6,13,34,3,136
99,6,14,35,2,136
106,6,15,34,2,136
117,6,16,37,1,136
126,7,17,37,1,136
131,8,18,35,2,136
136,8,19,37,2,136
37,4,5,26,4,140
39,4,6,18,4,140
42,4,7,14,3,140
53,4,8,21,2,140
55,4,9,19,2,140
70,4,10,33,0,140
82,4,11,43,0,140
88,4,12,46,0,140
95,5,13,42,1,140
103,5,14,48,1,140
103,5,15,33,1,140
111,5,16,29,1,140
126,5,17,38,1,140
140,5,18,45,0,140
32,2,5,26,2,140
38,2,6,27,0,140
44,2,7,32,0,140
48,3,8,26,1,140
54,3,9,29,1,140
64,3,10,32,1,140
78,3,11,40,1,140
87,3,12,43,1,140
91,4,13,43,1,140
94,5,14,40,2,140
100,6,15,36,3,140
112,6,16,34,3,140
125,6,17,38,3,140
133,7,18,42,3,140
140,7,19,46,2,140
26,1,5,21,1,108
35,1,6,28,1,108
39,1,7,31,1,108
52,1,8,38,1,108
59,1,9,39,1,108
60,2,10,34,1,108
63,2,11,28,1,108
67,3,12,28,2,108
77,3,13,25,2,108
80,3,14,21,2,108
90,4,15,30,2,108
97,6,16,34,4,108
105,8,17,38,5,108
108,9,18,31,6,108
108,10,19,28,7,108
25,2,5,21,2,120
28,2,6,17,2,120
42,3,7,25,2,120
44,3,8,26,2,120
45,3,9,21,1,120
46,4,10,21,2,120
57,4,11,29,2,120
59,4,12,17,1,120
71,4,13,27,1,120
77,4,14,32,1,120
78,5,15,32,1,120
93,5,16,36,1,120
101,5,17,42,1,120
113,6,18,42,2,120
120,7,19,43,3,120
43,0,5,34,0,123
51,1,6,30,1,123
55,1,7,29,1,123
56,2,8,24,2,123
65,2,9,31,2,123
71,3,10,28,3,123
76,3,11,25,2,123
81,3,12,26,2,123
92,3,13,36,1,123
114,3,14,49,1,123
119,4,15,48,1,123
123,4,16,47,1,123
42,1,5,31,1,215
51,1,6,40,1,215
64,1,7,45,0,215
66,1,8,36,0,215
79,1,9,40,0,215
83,1,10,41,0,215
96,1,11,45,0,215
108,1,12,44,0,215
128,1,13,62,0,215
137,1,14,58,0,215
159,1,15,76,0,215
176,1,16,80,0,215
189,1,17,81,0,215
203,1,18,75,0,215
215,1,19,78,0,215
51,2,5,40,2,194
60,2,6,42,1,194
69,2,7,45,1,194
82,3,8,43,2,194
96,3,9,49,1,194
105,3,10,54,1,194
116,4,11,56,2,194
129,4,12,60,2,194
142,4,13,60,1,194
149,4,14,53,1,194
158,5,15,53,2,194
165,6,16,49,2,194
172,7,17,43,3,194
186,7,18,44,3,194
194,9,19,45,5,194
41,1,5,35,1,126
45,2,6,37,1,126
53,2,7,40,1,126
55,3,8,36,2,126
61,3,9,30,2,126
69,3,10,28,2,126
73,4,11,28,2,126
80,4,12,27,2,126
85,4,13,30,1,126
93,4,14,32,1,126
96,4,15,27,1,126
107,4,16,34,0,126
114,5,17,34,1,126
120,6,18,35,2,126
126,8,19,33,4,126
58,0,5,47,0,128
60,0,6,43,0,128
62,0,7,36,0,128
65,1,8,31,1,128
69,1,9,25,1,128
76,1,10,18,1,128
85,2,11,25,2,128
88,3,12,26,3,128
94,3,13,29,2,128
99,3,14,30,2,128
104,4,15,28,3,128
110,4,16,25,2,128
118,5,17,30,2,128
128,5,18,34,2,128
20,4,5,15,4,141
27,4,6,22,3,141
35,4,7,20,3,141
36,4,8,19,2,141
50,4,9,32,1,141
56,4,10,36,0,141
63,4,11,36,0,141
73,4,12,38,0,141
77,4,13,41,0,141
84,5,14,34,1,141
92,5,15,36,1,141
114,5,16,51,1,141
122,5,17,49,1,141
126,8,18,49,4,141
141,8,19,57,3,141
44,0,5,34,0,145
67,0,6,53,0,145
78,0,7,57,0,145
82,1,8,54,1,145
87,1,9,53,1,145
96,1,10,52,1,145
106,1,11,39,1,145
113,2,12,35,2,145
117,2,13,35,1,145
118,3,14,31,2,145
129,3,15,33,2,145
135,4,16,29,3,145
141,4,17,28,2,145
145,4,18,28,2,145
27,1,5,19,1,136
32,1,6,19,1,136
38,1,7,23,1,136
40,2,8,19,2,136
45,2,9,23,1,136
49,2,10,22,1,136
60,2,11,28,1,136
80,2,12,42,1,136
91,2,13,51,0,136
101,2,14,56,0,136
107,2,15,58,0,136
113,3,16,53,1,136
117,4,17,37,2,136
127,4,18,36,2,136
136,4,19,35,2,136
40,1,5,31,1,102
46,1,6,35,1,102
52,2,7,39,1,102
55,2,8,34,1,102
61,3,9,26,2,102
64,4,10,24,3,102
68,4,11,22,3,102
72,4,12,20,2,102
76,4,13,21,2,102
82,4,14,21,1,102
87,5,15,23,1,102
92,6,16,24,2,102
95,7,17,23,3,102
99,8,18,23,4,102
102,8,19,20,4,102
23,3,5,17,2,132
30,3,6,20,2,132
37,3,7,21,2,132
41,3,8,21,1,132
47,3,9,26,0,132
51,3,10,28,0,132
53,4,11,23,1,132
61,4,12,24,1,132
67,4,13,26,1,132
75,4,14,28,1,132
84,4,15,33,1,132
99,4,16,46,0,132
119,4,17,58,0,132
126,5,18,59,1,132
132,7,19,57,3,132
40,2,5,37,2,123
44,2,6,17,2,123
52,2,7,22,1,123
54,2,8,18,1,123
57,4,9,20,2,123
60,4,10,20,2,123
68,4,11,24,2,123
72,4,12,20,2,123
77,4,13,23,2,123
89,4,14,32,0,123
103,5,15,43,1,123
104,6,16,36,2,123
111,6,17,39,2,123
119,7,18,42,3,123
123,9,19,34,5,123
31,2,5,24,2,162
40,2,6,31,1,162
48,2,7,30,1,162
52,2,8,26,1,162
74,2,9,43,1,162
83,2,10,52,0,162
85,3,11,45,1,162
91,3,12,43,1,162
105,4,13,53,2,162
106,4,14,32,2,162
120,4,15,37,2,162
136,4,16,51,1,162
143,4,17,52,1,162
151,5,18,46,1,162
162,6,19,56,2,162
44,0,5,36,0,163
57,0,6,45,0,163
66,0,7,45,0,163
72,0,8,45,0,163
79,0,9,40,0,163
95,0,10,51,0,163
105,0,11,48,0,163
118,0,12,52,0,163
130,0,13,58,0,163
140,0,14,61,0,163
149,0,15,54,0,163
155,0,16,50,0,163
162,0,17,44,0,163
163,0,18,33,0,163
48,1,5,43,1,162
51,1,6,37,1,162
55,1,7,35,1,162
61,1,8,33,1,162
68,1,9,32,1,162
71,1,10,23,0,162
81,1,11,30,0,162
88,2,12,33,1,162
92,3,13,31,2,162
99,3,14,31,2,162
106,4,15,35,3,162
115,4,16,34,3,162
126,4,17,38,2,162
141,4,18,49,1,162
162,4,19,63,1,162
49,2,5,38,2,144
57,2,6,33,1,144
62,2,7,37,0,144
73,2,8,33,0,144
83,2,9,36,0,144
88,3,10,39,1,144
95,3,11,38,1,144
100,3,12,38,1,144
105,3,13,32,1,144
109,4,14,26,2,144
117,4,15,29,1,144
120,5,16,25,2,144
130,5,17,30,2,144
137,6,18,32,3,144
144,8,19,35,4,144
30,2,5,29,2,187
36,2,6,32,0,187
41,2,7,37,0,187
47,2,8,33,0,187
61,2,9,39,0,187
80,2,10,50,0,187
82,2,11,46,0,187
94,2,12,53,0,187
102,3,13,55,1,187
114,4,14,53,2,187
128,5,15,48,3,187
141,5,16,59,3,187
150,5,17,56,3,187
168,5,18,66,2,187
187,5,19,73,1,187
54,1,5,48,1,149
60,2,6,40,2,149
68,2,7,41,2,149
72,3,8,31,3,149
77,3,9,30,2,149
90,4,10,36,3,149
97,5,11,37,3,149
101,5,12,33,3,149
103,6,13,31,3,149
112,7,14,35,4,149
117,7,15,27,3,149
125,7,16,28,2,149
129,8,17,28,3,149
142,8,18,39,2,149
149,9,19,37,2,149
52,0,5,40,0,222
64,0,6,45,0,222
68,0,7,43,0,222
77,1,8,46,1,222
83,1,9,44,1,222
104,1,10,52,1,222
115,1,11,51,1,222
127,1,12,59,1,222
139,2,13,62,1,222
162,2,14,79,1,222
167,2,15,63,1,222
183,3,16,68,2,222
190,4,17,63,3,222
215,4,18,76,2,222
222,5,19,60,3,222
46,2,5,40,2,136
62,2,6,45,2,136
70,2,7,49,1,136
82,3,8,55,1,136
89,3,9,54,1,136
98,3,10,52,1,136
107,4,11,45,2,136
111,4,12,41,2,136
120,5,13,38,2,136
128,7,14,39,4,136
136,8,15,38,5,136
136,10,16,29,6,136
54,0,5,51,0,190
63,0,6,57,0,190
69,0,7,52,0,190
82,0,8,51,0,190
86,0,9,51,0,190
91,1,10,37,1,190
104,1,11,41,1,190
111,1,12,42,1,190
128,1,13,46,1,190
136,1,14,50,1,190
146,1,15,55,0,190
160,1,16,56,0,190
171,2,17,60,1,190
182,2,18,54,1,190
190,3,19,54,2,190
56,1,5,53,0,192
69,1,6,60,0,192
77,1,7,61,0,192
91,1,8,55,0,192
100,1,9,59,0,192
111,1,10,55,0,192
121,1,11,52,0,192
129,1,12,52,0,192
137,1,13,46,0,192
141,2,14,41,1,192
152,2,15,41,1,192
164,3,16,43,2,192
171,4,17,42,3,192
182,5,18,45,4,192
192,5,19,51,3,192
45,2,5,36,1,128
47,2,6,30,1,128
53,2,7,27,1,128
60,3,8,26,2,128
68,3,9,27,2,128
75,3,10,30,1,128
79,4,11,32,2,128
87,4,12,34,2,128
92,5,13,32,2,128
96,5,14,28,2,128
98,6,15,23,3,128
109,6,16,30,2,128
113,7,17,26,3,128
125,8,18,33,3,128
128,10,19,32,5,128
46,1,5,46,1,129
52,1,6,47,0,129
58,2,7,38,1,129
68,2,8,39,1,129
75,2,9,35,1,129
80,2,10,34,1,129
87,2,11,35,1,129
93,2,12,35,0,129
98,3,13,30,1,129
100,4,14,25,2,129
106,4,15,26,2,129
114,4,16,27,2,129
126,4,17,33,2,129
129,4,18,31,1,129
31,2,5,30,2,156
36,3,6,34,3,156
44,3,7,35,2,156
56,3,8,40,2,156
59,3,9,31,1,156
74,3,10,43,1,156
75,4,11,39,1,156
82,5,12,38,2,156
93,5,13,37,2,156
100,5,14,41,2,156
106,5,15,32,2,156
115,5,16,40,1,156
132,5,17,50,0,156
140,5,18,47,0,156
156,5,19,56,0,156
38,0,5,36,0,154
49,0,6,45,0,154
54,1,7,43,1,154
58,1,8,35,1,154
62,2,9,35,2,154
69,2,10,31,2,154
74,2,11,25,2,154
85,2,12,31,1,154
91,3,13,33,2,154
96,3,14,34,1,154
106,3,15,37,1,154
130,3,16,56,1,154
140,3,17,55,1,154
147,3,18,56,0,154
154,5,19,58,2,154
38,1,5,34,1,126
46,1,6,36,1,126
50,1,7,32,1,126
58,1,8,37,1,126
60,2,9,28,2,126
67,2,10,29,1,126
71,2,11,25,1,126
72,3,12,22,2,126
83,3,13,25,2,126
87,4,14,27,2,126
92,4,15,25,2,126
107,4,16,36,2,126
113,5,17,41,2,126
117,6,18,34,3,126
126,6,19,39,2,126
27,0,5,25,0,104
36,1,6,33,1,104
38,1,7,33,1,104
44,2,8,31,2,104
48,3,9,30,3,104
50,3,10,23,3,104
57,4,11,21,3,104
68,4,12,30,3,104
72,4,13,28,2,104
78,4,14,30,1,104
84,5,15,34,2,104
94,6,16,37,2,104
103,7,17,35,3,104
104,10,18,32,6,104
45,1,5,40,1,165
50,1,6,39,1,165
55,1,7,33,0,165
65,1,8,33,0,165
73,1,9,37,0,165
85,1,10,40,0,165
91,2,11,41,1,165
103,2,12,48,1,165
108,2,13,43,1,165
127,2,14,54,1,165
142,2,15,57,1,165
149,3,16,58,1,165
159,3,17,56,1,165
161,5,18,53,3,165
165,7,19,38,5,165
39,1,5,34,1,160
46,1,6,36,1,160
53,1,7,31,1,160
65,1,8,42,1,160
73,1,9,40,1,160
82,2,10,43,1,160
90,2,11,44,1,160
100,2,12,47,1,160
112,2,13,47,1,160
120,2,14,47,1,160
131,2,15,49,0,160
144,2,16,54,0,160
149,3,17,49,1,160
157,4,18,45,2,160
160,6,19,40,4,160
41,2,5,37,1,148
49,3,6,38,2,148
55,3,7,38,2,148
67,4,8,44,2,148
72,4,9,44,2,148
79,5,10,38,3,148
83,6,11,34,3,148
90,6,12,35,3,148
92,6,13,25,2,148
96,6,14,24,2,148
103,6,15,24,1,148
112,6,16,29,0,148
120,6,17,30,0,148
133,6,18,41,0,148
148,6,19,52,0,148
36,2,5,31,2,139
40,2,6,30,1,139
44,3,7,30,2,139
49,3,8,19,2,139
58,3,9,26,1,139
62,4,10,26,2,139
66,4,11,26,2,139
70,5,12,26,2,139
80,5,13,31,2,139
93,5,14,35,2,139
99,6,15,37,2,139
109,7,16,43,3,139
126,8,17,56,3,139
137,8,18,57,3,139
139,9,19,46,4,139
24,2,5,23,1,99
27,2,6,25,1,99
30,3,7,17,2,99
33,4,8,15,3,99
38,5,9,17,3,99
40,5,10,16,3,99
45,5,11,18,3,99
51,5,12,21,2,99
56,6,13,23,2,99
64,6,14,26,1,99
78,6,15,38,1,99
80,7,16,35,2,99
84,7,17,33,2,99
89,7,18,33,1,99
99,9,19,35,3,99
56,1,5,42,1,100
63,1,6,42,1,100
67,1,7,44,0,100
75,1,8,31,0,100
84,2,9,30,1,100
92,2,10,36,1,100
99,2,11,36,1,100
100,2,12,33,1,100
40,2,5,32,2,130
42,2,6,29,1,130
43,3,7,24,2,130
47,3,8,24,1,130
55,3,9,22,1,130
62,3,10,22,1,130
66,3,11,24,1,130
78,3,12,35,0,130
85,4,13,38,1,130
94,4,14,39,1,130
96,4,15,34,1,130
108,5,16,42,2,130
114,6,17,36,3,130
125,6,18,40,2,130
130,8,19,36,4,130
37,2,5,33,2,130
43,2,6,31,1,130
47,2,7,28,1,130
52,3,8,32,1,130
56,3,9,25,1,130
59,3,10,22,1,130
69,3,11,26,1,130
77,3,12,30,1,130
82,4,13,30,1,130
91,4,14,35,1,130
99,5,15,40,2,130
103,6,16,34,3,130
117,6,17,40,3,130
124,6,18,42,2,130
130,7,19,39,3,130
35,1,5,34,1,144
42,1,6,36,1,144
46,2,7,33,1,144
53,2,8,32,1,144
63,2,9,36,1,144
67,3,10,32,2,144
69,3,11,27,2,144
79,3,12,33,1,144
86,3,13,33,1,144
100,3,14,37,1,144
101,5,15,34,2,144
106,5,16,37,2,144
114,5,17,35,2,144
132,5,18,46,2,144
144,6,19,44,3,144
40,2,5,26,2,125
43,4,6,25,4,125
46,5,7,23,3,125
50,5,8,24,3,125
55,5,9,19,3,125
56,6,10,16,4,125
62,6,11,19,2,125
77,6,12,31,1,125
90,6,13,40,1,125
99,7,14,44,2,125
104,8,15,48,2,125
109,8,16,47,2,125
122,8,17,45,2,125
125,10,18,35,4,125
38,2,5,38,1,209
51,2,6,45,0,209
59,2,7,45,0,209
75,2,8,55,0,209
80,2,9,58,0,209
87,2,10,49,0,209
100,2,11,49,0,209
113,2,12,54,0,209
124,2,13,49,0,209
138,3,14,58,1,209
149,3,15,62,1,209
160,3,16,60,1,209
167,4,17,54,2,209
189,4,18,65,2,209
209,5,19,71,2,209
46,2,5,44,1,165
57,2,6,47,1,165
61,2,7,44,0,165
69,2,8,42,0,165
84,2,9,42,0,165
97,3,10,51,1,165
102,4,11,45,2,165
113,4,12,52,2,165
118,4,13,49,2,165
126,5,14,42,3,165
132,6,15,35,3,165
137,7,16,35,3,165
140,8,17,27,4,165
154,8,18,36,4,165
165,9,19,39,4,165
43,2,5,38,2,138
50,3,6,34,3,138
60,3,7,40,1,138
64,3,8,33,1,138
72,3,9,34,1,138
78,3,10,35,1,138
88,3,11,38,0,138
97,3,12,37,0,138
106,3,13,42,0,138
116,4,14,44,1,138
123,5,15,45,2,138
131,6,16,43,3,138
133,8,17,36,5,138
137,9,18,31,6,138
138,10,19,22,6,138
38,0,5,32,0,139
43,0,6,34,0,139
46,0,7,32,0,139
59,0,8,35,0,139
65,0,9,34,0,139
71,0,10,33,0,139
74,0,11,31,0,139
88,0,12,42,0,139
97,0,13,38,0,139
103,0,14,38,0,139
119,0,15,48,0,139
132,0,16,58,0,139
139,0,17,51,0,139
44,1,5,41,0,154
47,1,6,34,0,154
54,1,7,34,0,154
68,2,8,43,1,154
72,2,9,41,1,154
78,2,10,34,1,154
88,2,11,41,1,154
96,3,12,42,2,154
105,3,13,37,1,154
113,3,14,41,1,154
123,3,15,45,1,154
130,4,16,42,2,154
135,6,17,39,3,154
148,6,18,43,3,154
154,8,19,41,5,154
43,1,5,39,1,158
50,1,6,39,1,158
56,1,7,37,0,158
75,1,8,56,0,158
80,2,9,59,1,158
95,2,10,52,1,158
104,2,11,54,1,158
110,2,12,54,1,158
115,2,13,40,1,158
117,2,14,37,0,158
135,2,15,40,0,158
145,2,16,41,0,158
158,2,17,48,0,158
44,1,5,37,0,145
49,1,6,35,0,145
54,1,7,34,0,145
61,1,8,31,0,145
72,1,9,32,0,145
80,1,10,36,0,145
83,2,11,34,1,145
88,3,12,34,2,145
92,3,13,31,2,145
102,4,14,30,3,145
106,5,15,26,4,145
112,5,16,29,3,145
126,5,17,38,2,145
130,5,18,38,2,145
145,5,19,43,1,145
64,1,5,58,1,148
67,1,6,54,1,148
79,1,7,49,1,148
82,1,8,31,1,148
87,1,9,29,0,148
96,1,10,32,0,148
104,2,11,37,1,148
109,2,12,30,1,148
112,2,13,30,1,148
117,2,14,30,1,148
128,2,15,32,1,148
131,3,16,27,1,148
138,3,17,29,1,148
148,3,18,36,1,148
29,3,5,29,2,114
32,3,6,20,2,114
35,3,7,19,2,114
44,4,8,19,3,114
46,4,9,18,1,114
51,4,10,22,1,114
58,4,11,26,1,114
64,4,12,29,1,114
67,5,13,23,1,114
72,5,14,26,1,114
76,5,15,25,1,114
93,5,16,35,1,114
97,7,17,33,3,114
101,8,18,34,3,114
114,8,19,42,3,114
38,1,5,36,1,115
43,1,6,41,0,115
46,2,7,39,1,115
49,2,8,34,1,115
51,2,9,26,1,115
54,3,10,16,2,115
63,3,11,20,2,115
65,3,12,19,1,115
69,4,13,20,2,115
76,5,14,25,3,115
89,5,15,35,2,115
97,6,16,34,3,115
103,7,17,38,4,115
109,7,18,40,3,115
115,7,19,39,2,115
48,0,5,45,0,183
54,0,6,43,0,183
56,1,7,28,1,183
64,2,8,29,2,183
72,2,9,35,2,183
79,2,10,31,2,183
90,2,11,36,2,183
92,2,12,36,1,183
104,2,13,40,0,183
115,2,14,43,0,183
118,3,15,39,1,183
137,3,16,47,1,183
158,3,17,66,1,183
167,3,18,63,1,183
183,3,19,68,1,183
40,4,5,35,3,142
46,4,6,33,2,142
57,4,7,35,1,142
68,4,8,42,1,142
72,5,9,38,2,142
77,5,10,37,1,142
83,5,11,37,1,142
95,6,12,38,2,142
105,6,13,37,2,142
118,6,14,46,1,142
121,7,15,44,2,142
127,8,16,44,3,142
132,8,17,37,2,142
138,8,18,33,2,142
142,8,19,24,2,142
33,1,5,28,1,165
35,1,6,29,0,165
46,1,7,35,0,165
55,2,8,38,1,165
64,2,9,38,1,165
69,2,10,36,1,165
74,2,11,39,1,165
86,2,12,40,1,165
99,2,13,44,0,165
115,2,14,51,0,165
125,2,15,56,0,165
135,4,16,61,2,165
140,5,17,54,3,165
160,5,18,61,3,165
165,6,19,50,4,165
31,2,5,28,2,166
37,2,6,33,2,166
46,2,7,40,1,166
54,2,8,44,0,166
64,2,9,47,0,166
68,3,10,37,1,166
78,3,11,41,1,166
82,4,12,36,2,166
95,4,13,41,2,166
101,4,14,37,2,166
112,4,15,44,1,166
125,4,16,47,1,166
137,4,17,55,0,166
150,6,18,55,2,166
166,6,19,65,2,166
48,0,5,45,0,180
57,0,6,39,0,180
62,1,7,38,1,180
68,1,8,37,1,180
76,1,9,34,1,180
81,1,10,33,1,180
88,1,11,31,1,180
96,1,12,34,0,180
104,2,13,36,1,180
109,2,14,33,1,180
122,2,15,41,1,180
135,2,16,47,1,180
157,2,17,61,1,180
172,3,18,68,1,180
180,4,19,71,2,180
39,0,5,32,0,132
45,0,6,34,0,132
55,0,7,31,0,132
57,1,8,28,1,132
68,1,9,35,1,132
71,2,10,32,2,132
77,3,11,32,3,132
85,3,12,30,3,132
99,3,13,42,2,132
104,3,14,36,2,132
110,4,15,39,2,132
115,5,16,38,2,132
122,5,17,37,2,132
126,6,18,27,3,132
132,7,19,28,4,132
34,3,5,33,3,124
39,3,6,31,1,124
43,3,7,33,1,124
46,4,8,36,1,124
57,4,9,36,1,124
63,4,10,29,1,124
72,5,11,33,2,124
75,6,12,32,3,124
79,6,13,33,2,124
88,6,14,31,2,124
92,7,15,29,3,124
100,7,16,28,2,124
116,8,17,41,2,124
124,10,18,45,4,124
48,1,5,42,1,126
